CITY ,SKILLS,USER NAME
Dadar,Database Management Systems,Avani
Malad,PHP,Arjun
Powai,JavaScript,Kavya
Andheri,JavaScript,Riya
Juhu,Python,Riya
Powai,Database Management Systems,Pooja
Dadar,Artificial Intelligence,Yash
Dadar,Cyber Security,Sanjay
Andheri,Computer Vision,Rahul
Dadar,PHP,Riya
Khar,DevOps,Sanjay
Andheri,Full Stack Developer,Tanvi
Santacruz,Cyber Security,Isha
Powai,Web Development,Sanjay
Khar,Backend Developement,Kavya
Goregaon,Data Analytics,Hari
Bandra,Blockchain,Dhruv
Bandra,Natural Language Processing,Kavya
Khar,PHP,Hari
Powai,Mobile App Development,Rohan
Colaba,Mobile App Development,Gauri
Khar,Data Analytics,Anaya
Goregaon,Web Development,Jai
Bandra,Database Management Systems,Gauri
Khar,C++,Darshan
Dadar,Cloud Computing,Vaibhav
Bandra,Mobile App Development,Tanvi
Bandra,Blockchain,Gauri
Bandra,Python,Rahul
Dadar,Database Management Systems,Gauri
Goregaon,Cloud Computing,Arjun
Malad,Artificial Intelligence,Vaibhav
Khar,Ruby,Isha
Malad,Python,Anaya
Powai,Frontend Development,Isha
Andheri,Mobile App Development,Sanjay
Santacruz,PHP,Sahil
Juhu,C++,Riya
Juhu,Natural Language Processing,Manish
Colaba,Blockchain,Sanjay
Colaba,Computer Vision,Jai
Goregaon,Data Analytics,Neha
Powai,R,Riya
Goregaon,Data Science,Shreya
Khar,Data Science,Rahul
Dadar,PHP,Kavya
Khar,Artificial Intelligence,Hari
Juhu,JavaScript,Aryan
Goregaon,Ruby,Akshay
Khar,Data Analytics,Rohan
Dadar,Database Management Systems,Hari
Santacruz,Robotics,Manish
Powai,Database Management Systems,Avani
Bandra,Natural Language Processing,Arjun
Powai,Java,Dhruv
Dadar,C++,Arjun
Colaba,C++,Sahil
Dadar,Blockchain,Kavya
Goregaon,Machine Learning,Divya
Bandra,Ruby,Jai
Santacruz,Machine Learning,Tanvi
Colaba,Database Management Systems,Riya
Malad,Machine Learning,Avani
Colaba,R,Yash
Khar,Web Development,Manish
Santacruz,DevOps,Avani
Khar,Game Development,Gauri
Malad,DevOps,Jai
Powai,Robotics,Sahil
Malad,PHP,Shreya
Bandra,Web Development,Rahul
Powai,Data Science,Sahil
Dadar,Python,Isha
Dadar,Python,Chahat
Andheri,Game Development,Rahul
Khar,Software Engineering,Neha
Colaba,Ruby,Hari
Juhu,Full Stack Developer,Pooja
Juhu,DevOps,Shreya
Goregaon,JavaScript,Sanjay
Khar,C++,Kavya
Bandra,Data Analytics,Manish
Powai,Natural Language Processing,Pooja
Dadar,Natural Language Processing,Divya
Bandra,Software Engineering,Akshay
Goregaon,Frontend Development,Rohan
Dadar,Database Management Systems,Chahat
Powai,Robotics,Aryan
Bandra,PHP,Aryan
Andheri,Cyber Security,Avani
Juhu,C++,Arjun
Malad,DevOps,Jai
Juhu,Java,Shreya
Andheri,Machine Learning,Ayush
Colaba,Python,Nisha
Colaba,Backend Developement,Manish
Powai,Full Stack Developer,Pooja
Andheri,Full Stack Developer,Gauri
Juhu,Full Stack Developer,Ayush
Malad,Python,Sanjay
Malad,JavaScript,Nisha
Santacruz,Artificial Intelligence,Gauri
Dadar,Backend Developement,Arjun
Goregaon,Python,Vaibhav
Bandra,Full Stack Developer,Anaya
Dadar,Full Stack Developer,Krupa
Colaba,Blockchain,Kavya
Santacruz,Cyber Security,Kavya
Malad,Data Analytics,Chahat
Juhu,Full Stack Developer,Akshay
Santacruz,Robotics,Krupa
Dadar,Database Management Systems,Neha
Khar,Ruby,Arjun
Malad,R,Kavya
Colaba,Cloud Computing,Tanvi
Juhu,Blockchain,Avani
Colaba,Cyber Security,Krupa
Goregaon,Software Engineering,Divya
Goregaon,DevOps,Tanvi
Powai,Data Science,Gauri
Juhu,Blockchain,Dhruv
Bandra,Cloud Computing,Akshay
Goregaon,Database Management Systems,Hari
Khar,Python,Aryan
Powai,JavaScript,Yash
Dadar,Computer Vision,Manish
Malad,Frontend Development,Dhruv
Juhu,Ruby,Varun
Malad,Ruby,Rahul
Andheri,PHP,Shreya
Juhu,Computer Vision,Akshay
Juhu,Robotics,Arjun
Dadar,Mobile App Development,Darshan
Bandra,Frontend Development,Avani
Colaba,Full Stack Developer,Vaibhav
Khar,Cyber Security,Gauri
Dadar,C++,Dhruv
Bandra,Database Management Systems,Hari
Juhu,Robotics,Arjun
Santacruz,Web Development,Aryan
Juhu,Frontend Development,Jai
Andheri,Data Science,Rohan
Andheri,JavaScript,Pooja
Powai,Blockchain,Krupa
Malad,Java,Divya
Colaba,Artificial Intelligence,Neha
Juhu,Computer Vision,Vaibhav
Goregaon,Frontend Development,Hari
Khar,Full Stack Developer,Aryan
Dadar,Artificial Intelligence,Yash
Bandra,Python,Avani
Colaba,Ruby,Varun
Colaba,Blockchain,Gauri
Malad,Game Development,Varun
Khar,Game Development,Akshay
Goregaon,Backend Developement,Yash
Juhu,C++,Neha
Bandra,DevOps,Divya
Malad,Ruby,Hari
Juhu,Full Stack Developer,Yash
Dadar,Python,Hari
Khar,Full Stack Developer,Krupa
Khar,Artificial Intelligence,Krish
Bandra,Natural Language Processing,Tanvi
Juhu,Robotics,Anaya
Bandra,Cyber Security,Rohan
Juhu,Software Engineering,Avani
Malad,C++,Riya
Goregaon,Cloud Computing,Jai
Colaba,Machine Learning,Anaya
Santacruz,Backend Developement,Avani
Colaba,JavaScript,Jai
Andheri,Full Stack Developer,Kavya
Powai,Artificial Intelligence,Sanjay
Goregaon,Game Development,Ayush
Colaba,Java,Dhruv
Juhu,Machine Learning,Riya
Santacruz,Game Development,Yash
Juhu,Computer Vision,Avani
Dadar,Robotics,Rahul
Andheri,Data Science,Varun
Goregaon,R,Anaya
Dadar,R,Sanjay
Bandra,Java,Dhruv
Malad,Full Stack Developer,Anaya
Andheri,Computer Vision,Rohan
Powai,R,Rahul
Powai,Web Development,Varun
Goregaon,Data Analytics,Pooja
Juhu,PHP,Chahat
Juhu,Full Stack Developer,Sahil
Goregaon,Software Engineering,Rahul
Dadar,Full Stack Developer,Krish
Colaba,Natural Language Processing,Akshay
Colaba,PHP,Gauri
Dadar,Python,Avani
Goregaon,Web Development,Arjun
Powai,Java,Nisha
Juhu,Blockchain,Shreya
Bandra,Java,Hari
Bandra,Game Development,Avani
Colaba,Computer Vision,Gauri
Andheri,C++,Pooja
Dadar,Python,Tanvi
Bandra,Mobile App Development,Pooja
Juhu,Python,Krupa
Juhu,Computer Vision,Nisha
Goregaon,Blockchain,Jai
Juhu,Python,Ayush
Juhu,Database Management Systems,Sanjay
Juhu,Mobile App Development,Hari
Powai,Robotics,Chahat
Colaba,Blockchain,Rohan
Powai,DevOps,Vaibhav
Andheri,Cloud Computing,Vaibhav
Bandra,Blockchain,Chahat
Bandra,Software Engineering,Pooja
Malad,Artificial Intelligence,Varun
Dadar,Java,Sanjay
Colaba,Frontend Development,Pooja
Juhu,Web Development,Krish
Dadar,R,Darshan
Colaba,Natural Language Processing,Divya
Khar,R,Aryan
Dadar,Database Management Systems,Neha
Colaba,Frontend Development,Gauri
Malad,DevOps,Gauri
Santacruz,Blockchain,Jai
Colaba,Artificial Intelligence,Akshay
Andheri,Artificial Intelligence,Gauri
Juhu,Database Management Systems,Darshan
Powai,Database Management Systems,Dhruv
Colaba,Python,Divya
Colaba,Database Management Systems,Manish
Malad,Software Engineering,Kavya
Colaba,Game Development,Krish
Dadar,Natural Language Processing,Akshay
Andheri,JavaScript,Krish
Powai,Software Engineering,Pooja
Malad,Game Development,Dhruv
Goregaon,Ruby,Anaya
Malad,Java,Ayush
Dadar,Data Science,Avani
Colaba,Machine Learning,Pooja
Dadar,JavaScript,Gauri
Goregaon,Software Engineering,Chahat
Colaba,Machine Learning,Avani
Colaba,DevOps,Neha
Goregaon,JavaScript,Vaibhav
Goregaon,Full Stack Developer,Jai
Santacruz,Computer Vision,Kavya
Andheri,Computer Vision,Rahul
Powai,Game Development,Isha
Bandra,Database Management Systems,Avani
Powai,Game Development,Isha
Santacruz,Data Analytics,Shreya
Bandra,JavaScript,Manish
Juhu,Web Development,Kavya
Bandra,Robotics,Jai
Khar,Data Science,Tanvi
Andheri,Ruby,Neha
Goregaon,Mobile App Development,Chahat
Colaba,Data Analytics,Kavya
Dadar,Web Development,Isha
Juhu,Frontend Development,Kavya
Dadar,R,Riya
Dadar,Data Science,Nisha
Bandra,Machine Learning,Yash
Powai,Frontend Development,Kavya
Colaba,Machine Learning,Riya
Bandra,R,Varun
Khar,Machine Learning,Anaya
Goregaon,Backend Developement,Rahul
Powai,Ruby,Pooja
Santacruz,Artificial Intelligence,Vaibhav
Andheri,C++,Kavya
Powai,Backend Developement,Arjun
Andheri,C++,Avani
Dadar,Blockchain,Jai
Colaba,Backend Developement,Gauri
Colaba,Web Development,Vaibhav
Goregaon,Robotics,Sahil
Bandra,C++,Rohan
Andheri,Cyber Security,Isha
Santacruz,Database Management Systems,Sanjay
Colaba,DevOps,Nisha
Khar,Full Stack Developer,Avani
Powai,Database Management Systems,Akshay
Dadar,Cyber Security,Manish
Dadar,Ruby,Anaya
Khar,Full Stack Developer,Avani
Khar,Game Development,Arjun
Colaba,Machine Learning,Yash
Santacruz,Game Development,Rahul
Juhu,R,Sanjay
Juhu,Web Development,Ayush
Juhu,Backend Developement,Divya
Khar,Blockchain,Neha
Malad,Cyber Security,Vaibhav
Juhu,Natural Language Processing,Divya
Juhu,Cloud Computing,Sahil
Powai,Ruby,Sahil
Colaba,DevOps,Krupa
Khar,Natural Language Processing,Hari
Colaba,Data Science,Sanjay
Khar,Ruby,Manish
Juhu,R,Yash
Juhu,Data Science,Chahat
Khar,Cloud Computing,Yash
Santacruz,Cloud Computing,Rohan
Colaba,Game Development,Kavya
Powai,Data Science,Neha
Khar,Backend Developement,Krish
Khar,Natural Language Processing,Jai
Andheri,Machine Learning,Shreya
Malad,Machine Learning,Gauri
Khar,Cloud Computing,Jai
Andheri,Cyber Security,Chahat
Goregaon,Cyber Security,Chahat
Malad,Blockchain,Divya
Bandra,Java,Sahil
Santacruz,Data Analytics,Dhruv
Goregaon,Backend Developement,Arjun
Powai,PHP,Arjun
Andheri,DevOps,Manish
Juhu,Blockchain,Rohan
Bandra,Software Engineering,Krish
Malad,Ruby,Rahul
Malad,Computer Vision,Ayush
Juhu,C++,Anaya
Malad,Natural Language Processing,Pooja
Powai,Backend Developement,Akshay
Goregaon,R,Aryan
Malad,Backend Developement,Vaibhav
Dadar,Frontend Development,Nisha
Dadar,Data Analytics,Rohan
Malad,Mobile App Development,Aryan
Santacruz,Backend Developement,Hari
Juhu,Game Development,Sahil
Malad,Full Stack Developer,Shreya
Colaba,Ruby,Nisha
Colaba,Software Engineering,Sahil
Goregaon,Blockchain,Krupa
Goregaon,Data Analytics,Pooja
Goregaon,Computer Vision,Avani
Khar,C++,Manish
Santacruz,Python,Pooja
Malad,Robotics,Kavya
Juhu,Java,Rahul
Dadar,Software Engineering,Tanvi
Bandra,Game Development,Anaya
Bandra,Blockchain,Nisha
Goregaon,Software Engineering,Anaya
Powai,PHP,Dhruv
Malad,Ruby,Chahat
Powai,Web Development,Rahul
Juhu,JavaScript,Aryan
Powai,PHP,Dhruv
Santacruz,Game Development,Ayush
Malad,PHP,Divya
Colaba,PHP,Sahil
Colaba,Database Management Systems,Chahat
Goregaon,Data Science,Rahul
Goregaon,R,Sanjay
Powai,Web Development,Divya
Colaba,JavaScript,Krupa
Goregaon,Web Development,Vaibhav
Malad,Ruby,Rahul
Juhu,Cyber Security,Neha
Bandra,Natural Language Processing,Nisha
Bandra,Software Engineering,Hari
Malad,Ruby,Jai
Goregaon,R,Varun
Colaba,Blockchain,Vaibhav
Santacruz,Web Development,Sahil
Powai,Data Analytics,Vaibhav
Bandra,Java,Jai
Santacruz,Artificial Intelligence,Hari
Goregaon,Ruby,Arjun
Santacruz,Computer Vision,Hari
Santacruz,Data Science,Riya
Andheri,R,Sahil
Bandra,Database Management Systems,Pooja
Goregaon,Data Science,Anaya
Dadar,Frontend Development,Neha
Bandra,Data Science,Sahil
Santacruz,JavaScript,Riya
Malad,Machine Learning,Riya
Malad,Artificial Intelligence,Avani
Dadar,DevOps,Shreya
Powai,Natural Language Processing,Akshay
Colaba,Java,Darshan
Juhu,Mobile App Development,Krupa
Colaba,C++,Darshan
Colaba,Mobile App Development,Akshay
Khar,Ruby,Manish
Khar,Backend Developement,Jai
Dadar,Mobile App Development,Aryan
Khar,Artificial Intelligence,Darshan
Andheri,Python,Krupa
Malad,Computer Vision,Pooja
Andheri,Game Development,Dhruv
Bandra,Computer Vision,Sahil
Khar,R,Anaya
Powai,Mobile App Development,Manish
Bandra,Data Analytics,Manish
Bandra,C++,Divya
Malad,Artificial Intelligence,Sahil
Khar,Frontend Development,Krish
Juhu,Ruby,Krupa
Andheri,Robotics,Gauri
Colaba,Database Management Systems,Yash
Colaba,Artificial Intelligence,Riya
Malad,Java,Neha
Bandra,Blockchain,Isha
Khar,Machine Learning,Darshan
Powai,R,Anaya
Andheri,Mobile App Development,Krupa
Andheri,DevOps,Aryan
Bandra,JavaScript,Varun
Dadar,Natural Language Processing,Isha
Santacruz,Cyber Security,Pooja
Bandra,Cyber Security,Rohan
Malad,Frontend Development,Akshay
Juhu,Ruby,Arjun
Santacruz,Artificial Intelligence,Kavya
Dadar,Java,Jai
Juhu,PHP,Avani
Powai,Mobile App Development,Krish
Khar,DevOps,Darshan
Khar,Game Development,Sanjay
Juhu,Full Stack Developer,Riya
Malad,Software Engineering,Rahul
Colaba,Backend Developement,Manish
Malad,C++,Yash
Dadar,Java,Hari
Goregaon,Natural Language Processing,Chahat
Malad,JavaScript,Krish
Santacruz,Full Stack Developer,Krupa
Khar,Data Science,Rahul
Khar,Robotics,Sanjay
Goregaon,Computer Vision,Sahil
Colaba,PHP,Divya
Goregaon,Software Engineering,Sanjay
Powai,Backend Developement,Riya
Andheri,Cloud Computing,Sahil
Malad,Computer Vision,Sahil
Dadar,Cyber Security,Manish
Dadar,Natural Language Processing,Riya
Colaba,Data Analytics,Dhruv
Dadar,Blockchain,Avani
Santacruz,JavaScript,Yash
Andheri,Robotics,Akshay
Dadar,Robotics,Avani
Colaba,Cloud Computing,Nisha
Dadar,Backend Developement,Rohan
Goregaon,Frontend Development,Pooja
Dadar,Cloud Computing,Nisha
Andheri,Robotics,Neha
Khar,Data Science,Chahat
Andheri,Backend Developement,Arjun
Khar,Backend Developement,Krupa
Andheri,Cloud Computing,Avani
Khar,Blockchain,Hari
Colaba,Java,Nisha
Dadar,Python,Kavya
Colaba,Database Management Systems,Shreya
Andheri,Data Science,Ayush
Malad,Software Engineering,Pooja
Santacruz,Ruby,Aryan
Dadar,Backend Developement,Neha
Powai,Database Management Systems,Krupa
Andheri,Java,Sanjay
Malad,PHP,Aryan
Santacruz,Artificial Intelligence,Sahil
Juhu,Full Stack Developer,Rahul
Dadar,PHP,Divya
Goregaon,Backend Developement,Pooja
Juhu,Artificial Intelligence,Chahat
Goregaon,Web Development,Ayush
Powai,Artificial Intelligence,Darshan
Goregaon,Software Engineering,Varun
Malad,Artificial Intelligence,Rahul
Khar,Cyber Security,Kavya
Juhu,Natural Language Processing,Rahul
Juhu,Java,Nisha
Powai,Full Stack Developer,Ayush
Khar,Frontend Development,Kavya
Malad,Data Analytics,Varun
Bandra,Ruby,Ayush
Bandra,Natural Language Processing,Aryan
Khar,Frontend Development,Avani
Bandra,Natural Language Processing,Gauri
Juhu,Artificial Intelligence,Yash
Santacruz,Full Stack Developer,Gauri
Dadar,Database Management Systems,Hari
Goregaon,Natural Language Processing,Isha
Dadar,Blockchain,Yash
Khar,Ruby,Riya
Colaba,Backend Developement,Varun
Malad,Frontend Development,Manish
Andheri,Python,Sanjay
Santacruz,Data Analytics,Jai
Powai,Cyber Security,Chahat
Bandra,Data Science,Rohan
Juhu,R,Aryan
Powai,Mobile App Development,Anaya
Khar,Web Development,Divya
Bandra,R,Divya
Bandra,Robotics,Rahul
Colaba,Software Engineering,Anaya
Santacruz,Frontend Development,Gauri
Bandra,Data Science,Divya
Goregaon,DevOps,Nisha
Khar,Machine Learning,Rahul
Goregaon,Python,Aryan
Juhu,JavaScript,Chahat
Khar,R,Dhruv
Powai,Backend Developement,Akshay
Malad,Cloud Computing,Divya
Colaba,Mobile App Development,Divya
Powai,Robotics,Sahil
Santacruz,Cyber Security,Sanjay
Andheri,Ruby,Neha
Malad,Ruby,Yash
Powai,Java,Aryan
Santacruz,Database Management Systems,Darshan
Dadar,Cyber Security,Kavya
Powai,Cyber Security,Aryan
Colaba,R,Yash
Juhu,Ruby,Ayush
Dadar,Cloud Computing,Ayush
Juhu,Ruby,Rahul
Goregaon,DevOps,Varun
Dadar,Mobile App Development,Shreya
Dadar,Blockchain,Sanjay
Bandra,JavaScript,Darshan
Bandra,Computer Vision,Shreya
Goregaon,Robotics,Yash
Santacruz,R,Rohan
Malad,Data Analytics,Dhruv
Khar,Backend Developement,Kavya
Powai,Backend Developement,Varun
Goregaon,Mobile App Development,Nisha
Juhu,C++,Hari
Powai,Data Analytics,Sahil
Dadar,Data Analytics,Sahil
Bandra,Cloud Computing,Anaya
Andheri,Artificial Intelligence,Krish
Bandra,Ruby,Krupa
Bandra,Frontend Development,Krish
Santacruz,Cyber Security,Yash
Andheri,Robotics,Jai
Malad,Blockchain,Ayush
Bandra,Data Science,Krish
Malad,Full Stack Developer,Pooja
Malad,PHP,Aryan
